Price,Close,High,Low,Open,Volume
Ticker,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS,CLEAN.NS
Date,,,,,
2025-05-15,1269.00830078125,1277.5578036446036,1253.5992693185713,1256.084596973842,79530
2025-05-16,1286.6043701171875,1304.2999515378388,1262.546446991658,1269.5053644160214,97917
2025-05-19,1278.5518798828125,1307.1829017853981,1249.3244036393153,1307.1829017853981,104611
2025-05-20,1259.7628173828125,1292.370364347915,1254.8916723233806,1282.429053852931,69265
2025-05-21,1267.02001953125,1278.2537489050555,1259.5640366779865,1264.9323686031137,53822
2025-05-22,1321.1007080078125,1330.1472758222249,1263.5404989312763,1270.1017392497577,318404
2025-05-23,1424.78857421875,1445.4665486278843,1322.1942982634705,1329.153215622752,1571706
2025-05-26,1416.93505859375,1430.355828000685,1391.08765084706,1402.7189357915145,216901
2025-05-27,1416.1396484375,1441.489989634521,1390.8886960724356,1397.7482244318182,178025
2025-05-28,1417.33251953125,1439.203401552434,1407.8882750221026,1414.5490255408831,92498
2025-05-29,1458.290771484375,1482.1499152113681,1413.654265824349,1418.326632929333,318020
2025-05-30,1540.107666015625,1590.6095683523642,1441.0922446564662,1461.3725409237347,356338
2025-06-02,1497.06201171875,1553.7274830545189,1484.2376965667188,1545.8738232828182,116587
2025-06-03,1471.6121826171875,1516.2485678822509,1466.3432397227323,1491.19651497227,92229
2025-06-04,1480.559326171875,1502.9272733596024,1461.3725495981835,1467.3373355149108,73146
2025-06-05,1529.5699462890625,1556.8091602084414,1476.5828363177973,1488.4128982426605,165361
2025-06-06,1489.4071044921875,1526.985307075043,1478.2728851696543,1525.9911760157493,69067
2025-06-09,1492.787109375,1506.1084892603567,1477.079912134318,1491.1965240201553,67454
2025-06-10,1469.02734375,1511.0791339806192,1463.460234369269,1505.8101910903179,65170
2025-06-11,1497.8572998046875,1504.120374359773,1473.5010875298597,1479.6647732443985,60536
2025-06-12,1450.9342041015625,1509.9856101631117,1442.9811560489331,1501.137819933785,68953
2025-06-13,1461.0743408203125,1469.4250658263688,1417.7302517508317,1421.6073870772743,89173
2025-06-16,1457.5948486328125,1487.1206126510347,1430.5545335110576,1456.4019399539259,81797
2025-06-17,1429.75927734375,1476.284660645029,1426.5781064145565,1457.5949477128145,52931
2025-06-18,1436.9171142578125,1449.0454651197708,1421.7068599069278,1440.4959619421695,50786
2025-06-19,1409.7772216796875,1448.7472317610834,1401.2277188965381,1432.6422358936786,60302
2025-06-20,1398.5435791015625,1433.4375539228074,1386.713395594459,1400.7306188221864,168160
