Price,Close,High,Low,Open,Volume
Ticker,AARTIDRUGS.NS,AARTIDRUGS.NS,AARTIDRUGS.NS,AARTIDRUGS.NS,AARTIDRUGS.NS
Date,,,,,
2025-05-15,458.73797607421875,472.16590866981016,454.26199854235495,457.5443699238556,312606
2025-05-16,452.5213623046875,461.4733177975227,450.08442894532675,457.79305728637934,132061
2025-05-19,478.034423828125,487.38423782984586,455.65453535634634,460.32942717987356,555641
2025-05-20,466.4466247558594,483.85320481928807,462.5176988282474,481.91360232749645,206551
2025-05-21,471.27069091796875,494.3468539905825,464.1588659908482,464.1588659908482,408757
2025-05-22,472.1659240722656,477.2386744901231,466.74500563164054,473.55844439000424,109918
2025-05-23,471.6685791015625,477.3381324443733,468.48564959514334,476.34347076795046,116752
2025-05-26,464.75567626953125,474.254683300215,462.5674084020513,471.66858718094977,99494
2025-05-27,467.5904541015625,470.9722976866689,459.68288173454545,467.4909818642754,143557
2025-05-28,469.18194580078125,477.537098183812,464.50702357157746,472.2653728512489,113715
2025-05-29,470.574462890625,476.0451023167681,465.601154321404,471.46965236215146,129406
2025-05-30,441.4805908203125,470.27602811837176,437.05433422168227,470.27602811837176,1275664
2025-06-02,466.4466247558594,477.4376245969005,441.629802752133,444.0169848041841,406290
2025-06-03,461.52301025390625,477.43759681438576,458.68821845188785,477.43759681438576,381717
2025-06-04,471.1214904785156,474.8514717137324,460.32940536702205,465.50165815505534,459723
2025-06-05,460.77703857421875,482.3612098894487,459.533711432896,476.44296055488564,240445
2025-06-06,459.6828918457031,467.19260578342,458.389843796524,466.4466095193554,112258
2025-06-09,465.9989929199219,468.38617485967785,457.69356189513326,463.0150079065606,105761
2025-06-10,464.0096740722656,470.17658863481364,455.3561053078298,467.19260359254827,121948
2025-06-11,470.0771179199219,475.24934046381895,459.93155660145874,466.2973853079982,209398
2025-06-12,471.07177734375,491.3628695286561,466.3471343675129,470.0771156645422,696495
2025-06-13,461.27435302734375,469.4803118682615,456.5994310003487,468.48565019057446,202711
2025-06-16,459.6828918457031,465.5513897187452,451.92454284129707,457.594096235389,155841
2025-06-17,448.4929504394531,464.5567306795484,447.5977609884095,459.78236670420506,149681
2025-06-18,444.0169677734375,454.4609154109059,442.27630983385944,449.4876070121114,156613
2025-06-19,437.4024658203125,452.52133522305115,435.3634215552845,448.8907958733859,109047
2025-06-20,438.29766845703125,440.88379492685857,428.6991892012996,440.0383264178254,231692
2025-06-23,430.58905029296875,439.2426193541377,429.69386082052597,439.2426193541377,98950
2025-06-24,436.0596923828125,441.62980409092876,431.633465937494,433.67251032352465,244013
2025-06-25,449.3881530761719,453.068413583038,433.27465142059606,436.65649519858107,318772
2025-06-26,443.0223083496094,464.80539317631855,440.5356541375498,452.5710665948515,370764
2025-06-27,450.78070068359375,453.9635999538775,441.08274897732315,445.0613958311777,198535
2025-06-30,455.7042541503906,467.39152918607886,450.73094562456583,450.78069692262386,289912
2025-07-01,467.1428527832031,471.41991622771286,454.21225091989265,457.4946526826093,280113
2025-07-02,481.0184020996094,492.357539359377,468.4856586631647,473.4589671415423,1518807
2025-07-03,481.3167724609375,486.3398320698637,475.19960930688393,485.5938358229141,340528
2025-07-04,484.84783935546875,495.3415077492546,475.69693992184943,481.31677224204753,601363
2025-07-07,488.2794189453125,496.03779836228136,484.400244414161,490.3682145712143,426471
2025-07-08,472.5140380859375,490.56717259308874,465.551406043848,490.36822810716234,321839
2025-07-09,474.8017578125,477.9846569676132,472.8621553995622,475.44828183192413,95419
2025-07-10,474.9012451171875,478.92961289688355,467.59047548489997,475.2493524316141,109808
2025-07-11,471.07177734375,485.39489945340927,468.63484408782466,473.1605729410195,158293
2025-07-14,478.18359375,479.9242516575663,468.5353634919093,473.3594786209547,84053
2025-07-15,527.4690551757812,543.483143994013,479.9242409593903,481.4162334183314,8303962
2025-07-16,517.4727172851562,531.9947529194706,514.2400669609337,528.2150508360915,528941
2025-07-17,515.0358276367188,528.1653745122227,508.62027774103706,508.76947092844046,341898
2025-07-18,520.406982421875,526.9717249650703,504.34317264498196,517.4229975005447,429155
2025-07-21,542.1403198242188,561.0388911614458,509.2667644558028,522.1973658970634,2839489
2025-07-22,533.8846435546875,548.3072375584936,528.7621117454659,546.0692488337651,523267
2025-07-23,531.74609375,538.9076697711081,525.0819092631685,536.470736587,236441
2025-07-24,535.7745361328125,539.7034011860735,527.8172427237479,531.7461077770089,235069
2025-07-25,534.8793334960938,548.8045974085908,529.6573595289074,535.1279989231026,458104
2025-07-28,524.7835083007812,540.3997097178128,523.1920738048805,531.945084951004,157961
2025-07-29,536.17236328125,538.8579619431837,523.7390923550114,524.1867022502221,209615
2025-07-30,519.4620971679688,546.3676852719486,511.0571932672327,537.6146740436326,447078
2025-07-31,504.0447998046875,522.6947060628777,501.2597592786638,514.5384682507631,306907
2025-08-01,486.8371887207031,508.22241560076236,483.4055936608735,504.044824254419,382926
2025-08-04,490.4676818847656,494.34685637695145,482.41091618273936,489.2740757234782,137571
2025-08-05,478.9295959472656,493.70032787451623,477.4873243783517,492.4072494857431,168944
2025-08-06,488.528076171875,492.3078087540577,472.4642961729285,477.8354631532245,265456
2025-08-07,503.4977722167969,507.2774745914943,479.8248051897272,481.2173255196333,220360
2025-08-08,489.1248779296875,505.3378510654094,484.89756581743296,504.2437475083228,107902
2025-08-11,486.78741455078125,490.71634028368896,479.4269242739401,483.05743329346325,96219
2025-08-12,486.8371887207031,490.1195602394967,482.8087905607292,487.08585414954103,66521
2025-08-13,485.4446105957031,494.14790011307576,482.41090467722773,492.35752126851077,79889
2025-08-14,484.0520935058594,492.1585800097766,479.4766437730477,490.36820115351617,69299
2025-08-18,501.1603088378906,507.2774722856966,481.91359867141176,487.18529359447496,297167
2025-08-19,488.1302185058594,504.24374983222873,484.499709451889,504.19399853552665,134742
2025-08-20,475.4482727050781,490.5173907585843,474.0557524542807,488.1302088494081,216100
2025-08-21,468.48565673828125,482.3114481804311,467.04338514361126,476.3932293282778,202669
2025-08-22,480.4713134765625,482.1125295360333,463.76100935636555,472.2653545978708,160183
2025-08-25,478.3327941894531,487.38422151713297,474.55309196037007,486.38955984056736,211290
2025-08-26,467.54071044921875,479.2279851868961,466.49632782729253,478.4322679849205,65719
2025-08-28,467.8391418457031,471.6685955040349,459.28504506006163,470.2760448248841,102275
2025-08-29,467.04339599609375,472.16592811053835,459.5337121919662,472.16592811053835,82923
2025-09-01,470.9225769042969,477.4375986608233,463.36314218790085,467.1428443687663,86503
2025-09-02,467.04339599609375,480.37188725682347,462.56741827993824,471.867511383328,150752
2025-09-03,487.7820739746094,494.3468470282108,467.09312350442957,467.3915098617758,344309
2025-09-04,471.8177795410156,490.02007635772947,469.5797907346328,490.02007635772947,111575
2025-09-05,468.6348571777344,482.31145564885645,467.4910022856283,478.830139674389,178829
2025-09-08,474.6525573730469,476.39321528200446,462.5176729515907,470.22630083411724,117862
2025-09-09,489.7216796875,493.75004731235896,472.66323810427616,475.69694405833883,267757
2025-09-10,507.2277526855469,524.8829980912735,487.38423936935646,491.0644998493182,667772
2025-09-11,508.6202697753906,519.3626344202,501.6078865305845,511.05717274392634,292172
2025-09-12,506.9293212890625,512.2507673705439,503.09986773390295,511.9026600648014,129448
2025-09-15,505.88494873046875,512.2507775652001,500.46403030174724,505.98442097180305,184664
2025-09-16,507.9239807128906,511.15666152686765,501.6078729753027,506.7304049099441,74859
2025-09-17,512.5491333007812,515.1850109426013,501.8067996813806,508.2223794306694,175909
2025-09-18,513.8919677734375,521.202706645903,510.2614284529547,514.2400750685723,104452
2025-09-19,522.5454711914062,531.6963704720772,511.604193090661,514.2400707350266,475702
2025-09-22,517.4727172851562,524.1369624031114,511.35552392635765,522.5454673563586,129098
2025-09-23,513.09619140625,519.4123293528934,502.3041367130771,517.4727269801552,161536
2025-09-24,514.4390258789062,517.2240664022833,505.2881264083844,511.25609640533384,106422
2025-09-25,504.3929443359375,526.6733599118908,501.21001481594465,522.1973823489002,174476
2025-09-26,467.4412841796875,497.2313842720961,463.9102168856358,493.35220966221755,549764
2025-09-29,479.6258850097656,483.4055873367876,467.8888587093649,475.44829371807504,154826
2025-09-30,483.9029235839844,486.19063338300816,477.63656693123824,482.4109310138385,104637
2025-10-01,485.4446105957031,491.3628596093825,479.924250529407,483.9028971659202,58510
2025-10-03,488.9756774902344,491.0644730444475,482.6595698865256,485.3948894479639,62280
2025-10-06,496.63458251953125,501.90630782567274,483.4553147861775,488.9757055212502,135815
2025-10-07,503.6966857910156,505.78548146090253,494.0982063239004,496.63458155219166,127009
2025-10-08,502.15496826171875,507.07852549280204,498.22604238180406,507.07852549280204,62981
2025-10-09,505.6860046386719,518.3181900765644,500.91164059759956,507.2774694372514,246631
2025-10-10,512.44970703125,515.8813019513932,502.55281122449765,505.8351826096792,136218
2025-10-13,509.2170715332031,515.3342045875464,504.29348395626073,510.36089606726773,119614
2025-10-14,498.92230224609375,508.96839123442936,496.33617582018576,508.96839123442936,117405
2025-10-15,506.23309326171875,509.7144092729566,498.4249927084378,502.353888279749,122051
2025-10-16,521.7994995117188,527.3199204716066,503.7464262215583,506.23308045237917,252199
2025-10-17,514.8866577148438,521.7995080218027,509.56518114849945,521.7995080218027,105480
2025-10-20,512.3004760742188,517.2240634353249,503.39827242596743,517.2240634353249,86874
2025-10-21,513.14599609375,517.1246428997978,510.0127874502544,513.2454379801683,26156
2025-10-23,505.0394592285156,515.7320721023838,502.30413965613076,515.7320721023838,81355
2025-10-24,491.3131408691406,506.9790620705873,489.1745940087032,505.03945968473266,94285
2025-10-27,488.57781982421875,499.9169566840244,486.538745207208,491.3131393908443,99176
2025-10-28,478.53173828125,490.4676783904244,477.33813212846644,488.5778272774049,215254
2025-10-29,491.3131408691406,498.3254934555412,475.44827519311116,479.725308204656,409334
2025-10-30,499.3201599121094,509.2667766434263,489.8708740173583,492.2580559619413,201266
2025-10-31,488.4783630371094,499.0217830437816,487.3842291049202,499.0217830437816,56190
2025-11-03,500.762451171875,502.7020232979539,485.6435810038765,488.47837295470947,115164
2025-11-04,500.91162109375,506.2827880194874,497.3805539664732,500.7126766186739,87386
2025-11-06,486.29010009765625,502.5031040550827,483.7039736011997,501.70735648058354,98582
2025-11-07,488.8265075683594,497.2313807714795,476.94028803948174,482.4109274226249,412614
2025-11-10,517.721435546875,531.1493690336815,495.3415464021974,503.7961711901867,1377910
2025-11-11,472.4145812988281,519.9593978877814,465.5016704189033,517.7214090876905,1088849
2025-11-12,472.46429443359375,480.91891864977384,466.4466034568846,477.6365472724171,501610
2025-11-13,466.5957946777344,473.21028870109944,464.3080546278096,472.4642924498628,205433
2025-11-14,460.9759826660156,466.8942016408707,458.68824251513064,466.49634302691965,148104
2025-11-17,460.32940673828125,467.3417896941767,450.134124664985,462.41820230715786,316695
2025-11-18,448.64215087890625,462.5176938358482,447.6474891717324,462.5176938358482,118788
2025-11-19,448.7416076660156,457.942228140507,443.61910612142105,448.6421354277908,180274
